index,Fuel Type Code,Station Name,City,State,ZIP,Status Code,Groups With Access Code,Latitude,Longitude,ID,Updated At,Country,Groups With Access Code (French),Access Code,TOTAL_POP_ev,County_ev,ST_ev,STATE_ev,STCNTY_ev,COUNTY_ev,FIPS_ev,SVI_ev,Area_km2_ev,PopDens_ev,PD_log_ev,geometry,index_tracts,TOTAL_POP_tracts,County_tracts,ST_tracts,STATE_tracts,STCNTY_tracts,COUNTY_tracts,FIPS_tracts,SVI_tracts,Area_km2_tracts,PopDens_tracts,PD_log_tracts
7148,ELEC,162781G01001020000,Cary,NC,27511,E,Public,35.782920000000004,-78.78119079999999,72689,2019-11-14 10:53:56 UTC,US,Public,public,3603,Wake,37,NORTH CAROLINA,37183,Wake,37183053507,0.6756,2.881972152078555,1250.1855708083165,7.131047275924402,POINT (700538.6010744211 3962142.648582406),185,3603,Wake,37,NORTH CAROLINA,37183,Wake,37183053507,0.6756,2.881972152078555,1250.1855708083165,7.131047275924402
3400,ELEC,West Regional Library,Cary,NC,27519,E,Public,35.815061,-78.864062,52057,2019-10-04 14:44:17 UTC,US,Public,public,3728,Wake,37,NORTH CAROLINA,37183,Wake,37183053603,0.1226,4.714964569500578,790.6740220520638,6.672885774170229,POINT (692969.6881987513 3965541.686395895),201,3728,Wake,37,NORTH CAROLINA,37183,Wake,37183053603,0.1226,4.714964569500578,790.6740220520638,6.672885774170229
15010,ELEC,WEINSTEIN,Cary,NC,27519,E,Public,35.8211395,-78.859447,99819,2019-11-14 10:14:28 UTC,US,Public,public,3728,Wake,37,NORTH CAROLINA,37183,Wake,37183053603,0.1226,4.714964569500578,790.6740220520638,6.672885774170229,POINT (693371.9384922233 3966225.120746177),201,3728,Wake,37,NORTH CAROLINA,37183,Wake,37183053603,0.1226,4.714964569500578,790.6740220520638,6.672885774170229
3401,ELEC,East Regional Library,Knightdale,NC,27545,E,Public,35.802473,-78.487298,52058,2019-10-04 14:44:17 UTC,US,Public,public,2285,Wake,37,NORTH CAROLINA,37183,Wake,37183054113,0.5562,22.33639189701773,102.29942286717689,4.627904031369594,POINT (727050.4154963907 3964953.741392041),255,2285,Wake,37,NORTH CAROLINA,37183,Wake,37183054113,0.5562,22.33639189701773,102.29942286717689,4.627904031369594
3444,ELEC,Capital Ford,Raleigh,NC,27616,E,Public - Call ahead,35.853054,-78.579543,52377,2019-05-14 21:16:45 UTC,US,Public - Appeler à l'avance,public,6256,Wake,37,NORTH CAROLINA,37183,Wake,37183054008,0.789,2.236780270793255,2796.8773158846593,7.936258829488677,POINT (718574.6045498375 3970355.252887375),238,6256,Wake,37,NORTH CAROLINA,37183,Wake,37183054008,0.789,2.236780270793255,2796.8773158846593,7.936258829488677
3445,ELEC,Capital Ford,Raleigh,NC,27616,E,Public - Call ahead,35.862553000000005,-78.696855,52378,2019-05-14 21:16:45 UTC,US,Public - Appeler à l'avance,public,2018,Wake,37,NORTH CAROLINA,37183,Wake,37183052506,0.0949,2.8966528778691827,696.6661471306387,6.546306310544974,POINT (707954.2961347859 3971153.115633872),122,2018,Wake,37,NORTH CAROLINA,37183,Wake,37183052506,0.0949,2.8966528778691827,696.6661471306387,6.546306310544974
21691,ELEC,Pleasant Valley Promenade,Raleigh,NC,27612,E,Public,35.857314,-78.703585,121809,2019-11-14 10:55:07 UTC,US,Public,public,2018,Wake,37,NORTH CAROLINA,37183,Wake,37183052506,0.0949,2.8966528778691827,696.6661471306387,6.546306310544974,POINT (707360.1854628907 3970557.60058475),122,2018,Wake,37,NORTH CAROLINA,37183,Wake,37183052506,0.0949,2.8966528778691827,696.6661471306387,6.546306310544974
3599,ELEC,UNC,Chapel Hill,NC,27514,E,Public,35.9114865,-79.0452047,53105,2019-11-14 10:14:28 UTC,US,Public,public,2350,Orange,,,,,,,0.6664899238205316,3525.9347756212946,8.167900864664572,POINT (676388.4889389706 3975896.353982232),79,2350,Orange,,,,,,,0.6664899238205316,3525.9347756212946,8.167900864664572
18825,ELEC,The Carolina Inn - Tesla Destination,Chapel Hill,NC,27516,E,Public,35.909674,-79.054415,114665,2019-05-09 14:33:40 UTC,US,Public,public,2350,Orange,,,,,,,0.6664899238205316,3525.9347756212946,8.167900864664572,POINT (675561.3144718838 3975678.687590746),79,2350,Orange,,,,,,,0.6664899238205316,3525.9347756212946,8.167900864664572
3704,ELEC,CrossRoads Ford,Cary,NC,27511,E,Public - Call ahead,35.753616,-78.739497,53884,2019-10-04 14:44:17 UTC,US,Public - Appeler à l'avance,public,5465,Wake,37,NORTH CAROLINA,37183,Wake,37183053003,0.1559,6.254010403628865,873.8392882795582,6.772896478060405,POINT (704382.5616669608 3958977.912555643),143,5465,Wake,37,NORTH CAROLINA,37183,Wake,37183053003,0.1559,6.254010403628865,873.8392882795582,6.772896478060405
23143,ELEC,"Target 0961 - Cary, NC",Cary,NC,20013,E,Public,35.758507,-78.738918,126637,2019-11-14 10:55:07 UTC,US,Public,public,5465,Wake,37,NORTH CAROLINA,37183,Wake,37183053003,0.1559,6.254010403628865,873.8392882795582,6.772896478060405,POINT (704422.4016991144 3959521.716742646),143,5465,Wake,37,NORTH CAROLINA,37183,Wake,37183053003,0.1559,6.254010403628865,873.8392882795582,6.772896478060405
3876,ELEC,BSMG,Durham,NC,27701,E,Public,35.993840000000006,-78.905162,57800,2019-11-14 10:14:28 UTC,US,Public,public,2830,Durham,37,NORTH CAROLINA,37063,Durham,37063000700,0.2989,3.405604091527137,830.9832628639388,6.7226096536946605,POINT (688830.5745705263 3985294.477608904),9,2830,Durham,37,NORTH CAROLINA,37063,Durham,37063000700,0.2989,3.405604091527137,830.9832628639388,6.7226096536946605
4801,ELEC,BSMG,Durham,NC,27701,E,Public,35.994403000000005,-78.904802,63239,2019-11-14 10:14:28 UTC,US,Public,public,2830,Durham,37,NORTH CAROLINA,37063,Durham,37063000700,0.2989,3.405604091527137,830.9832628639388,6.7226096536946605,POINT (688861.6869072907 3985357.633248602),9,2830,Durham,37,NORTH CAROLINA,37063,Durham,37063000700,0.2989,3.405604091527137,830.9832628639388,6.7226096536946605
4820,ELEC,BSMG,Durham,NC,27701,E,Public,35.9917846,-78.90625159999999,63299,2019-11-14 10:14:28 UTC,US,Public,public,2830,Durham,37,NORTH CAROLINA,37063,Durham,37063000700,0.2989,3.405604091527137,830.9832628639388,6.7226096536946605,POINT (688737.2425058782 3985064.345373145),9,2830,Durham,37,NORTH CAROLINA,37063,Durham,37063000700,0.2989,3.405604091527137,830.9832628639388,6.7226096536946605
5659,ELEC,BSMG,Durham,NC,27701,E,Public,35.9926581,-78.90599940000001,66697,2019-11-14 10:14:28 UTC,US,Public,public,2830,Durham,37,NORTH CAROLINA,37063,Durham,37063000700,0.2989,3.405604091527137,830.9832628639388,6.7226096536946605,POINT (688757.8975567729 3985161.737883879),9,2830,Durham,37,NORTH CAROLINA,37063,Durham,37063000700,0.2989,3.405604091527137,830.9832628639388,6.7226096536946605
14144,ELEC,BSMG,Durham,NC,27701,E,Public,35.993329100000004,-78.9056251,96976,2019-11-14 10:14:28 UTC,US,Public,public,2830,Durham,37,NORTH CAROLINA,37063,Durham,37063000700,0.2989,3.405604091527137,830.9832628639388,6.7226096536946605,POINT (688790.0426523524 3985236.902182662),9,2830,Durham,37,NORTH CAROLINA,37063,Durham,37063000700,0.2989,3.405604091527137,830.9832628639388,6.7226096536946605
3895,ELEC,UNC,Chapel Hill,NC,27514,E,Public,35.9007849,-79.0462787,58187,2019-11-14 10:14:28 UTC,US,Public,public,5786,Orange,37,NORTH CAROLINA,37135,Orange,37135011602,0.5248,1.5556685992596773,3719.301143414146,8.221291064944797,POINT (676315.3157606171 3974707.251687985),80,5786,Orange,37,NORTH CAROLINA,37135,Orange,37135011602,0.5248,1.5556685992596773,3719.301143414146,8.221291064944797
4822,ELEC,UNC,Chapel Hill,NC,27514,E,Public,35.906067799999995,-79.0456786,63303,2019-11-14 10:14:28 UTC,US,Public,public,5786,Orange,37,NORTH CAROLINA,37135,Orange,37135011602,0.5248,1.5556685992596773,3719.301143414146,8.221291064944797,POINT (676357.7519474468 3975294.38400453),80,5786,Orange,37,NORTH CAROLINA,37135,Orange,37135011602,0.5248,1.5556685992596773,3719.301143414146,8.221291064944797
4831,ELEC,UNC,Chapel Hill,NC,27514,E,Public,35.9033304,-79.0524485,63335,2019-11-14 10:14:28 UTC,US,Public,public,5786,Orange,37,NORTH CAROLINA,37135,Orange,37135011602,0.5248,1.5556685992596773,3719.301143414146,8.221291064944797,POINT (675752.8183022557 3974978.510293423),80,5786,Orange,37,NORTH CAROLINA,37135,Orange,37135011602,0.5248,1.5556685992596773,3719.301143414146,8.221291064944797
